,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,ipniID.type,ipniID,structureLabel.xml:lang,structureLabel.type,structureLabel,chembl_id.type,chembl_id,refDOI.type,refDOI,structure_cas.type,structure_cas
10,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27293263,literal,Kadsura coccinea,literal,PICOUNAPKDEPCA-TXEJJXNPSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1C)O)OC)OC)OC)OC)O,literal,554572-1,en,literal,gomisin j,literal,CHEMBL251864,literal,10.1055/S-2007-969495,literal,66280-25-9
11,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135924,literal,Kadsura coccinea,literal,YVMJUSKDPJGDHW-SYTFOFBDSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1C)O)OCO4)OC)OC)OC)OC,literal,554572-1,en,literal,Yunnankadsurin B,literal,CHEMBL1782124,literal,10.1021/NP1009288,,
12,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135920,literal,Kadsura coccinea,literal,YWOQCMUIZIFGSH-NWTVNDALSA-N,literal,CCCC(=O)OC1C(C(C(C2=CC(=C(C(=C2C3=C(C4=C(C=C13)OCO4)OC)OC)OC)OC)OC(=O)C(=CC)C)C)C,literal,554572-1,en,literal,ananolignan N,literal,CHEMBL1782122,literal,10.1021/NP1009288,,
13,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q77570740,literal,Kadsura coccinea,literal,GEVSLAUNZNQKOU-KDWUTSDDSA-N,literal,O=C(O)C(=CCC(OC(=O)C)C(C)C1CCC2(C3=C(CCC12C)C4(C)CCC(=O)C(C)(C)C4CC3)C)C,literal,554572-1,en,literal,Astraodoric acid A,,,literal,10.1016/J.TET.2010.09.059,,
14,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105367408,literal,Kadsura coccinea,literal,YWWMZTMLSGNGCL-MLBNVTFNSA-N,literal,O=C(OC1=C(OC)C(OC)=CC2=C1C3=C(OC)C=4OCOC4C=C3C(O)C(C)C(C)C2)C(=CC)C,literal,554572-1,en,literal,kadsuralignan I,,,literal,10.1021/NP070269X,,
15,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135916,literal,Kadsura coccinea,literal,CTOBKBWNSSDQMA-BTZGXSAMSA-N,literal,CCC(C)C(=O)OC1C(C(C(C2=CC(=C(C(=C2C3=C(C4=C(C=C13)OCO4)OC)OC)OC)OC)OC(=O)C)C)C,literal,554572-1,en,literal,ananolignan J,literal,CHEMBL1782118,literal,10.1021/NP1009288,,
16,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q15426250,literal,Kadsura coccinea,literal,QUGMSTJBNZWXQS-SQHYZVFZSA-N,literal,CC1CC2=CC(=C(C(=C2C3=C(C4=C(C=C3C(C1C)OC(=O)C)OCO4)OC)OC)OC)OC,literal,554572-1,en,literal,kadsurin,literal,CHEMBL559796,literal,10.1021/NP1009288,literal,51670-40-7
17,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104991157,literal,Kadsura heteroclita,literal,DXQWWPXSKMXYIB-FSCIHCLTSA-N,literal,O=C(OC1C2=CC(OC)=C(OC)C(=O)C32C4=C(OC3)C=5OCOC5C=C4C(OC(=O)C(=CC)C)C(C)C1(O)C)C=6C=CC=CC6,literal,554576-1,en,literal,"[(1S,12S,13S,14S,15R)-14-hydroxy-18,19-dimethoxy-13,14-dimethyl-12-[(Z)-2-methylbut-2-enoyl]oxy-20-oxo-3,6,8-trioxapentacyclo[9.9.1.01,16.04,21.05,9]henicosa-4(21),5(9),10,16,18-pentaen-15-yl] benzoate",,,literal,10.3987/COM-07-10999,,
18,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104958320,literal,Kadsura heteroclita,literal,CGWKMZYZZCWGCK-DITIAMETSA-N,literal,O=C(OC1C2=CC=3OCOC3C=4OCC5(C(=O)C(OC)=C(OC)C=C5CC(C)C1C)C42)C(=CC)C,literal,554576-1,en,literal,CID 16745528,,,literal,10.1016/0031-9422(92)90049-V,,
19,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104958320,literal,Kadsura heteroclita,literal,CGWKMZYZZCWGCK-DITIAMETSA-N,literal,O=C(OC1C2=CC=3OCOC3C=4OCC5(C(=O)C(OC)=C(OC)C=C5CC(C)C1C)C42)C(=CC)C,literal,554576-1,en,literal,CID 16745528,,,literal,10.1248/CPB.40.1510,,
20,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104958320,literal,Kadsura heteroclita,literal,CGWKMZYZZCWGCK-DITIAMETSA-N,literal,O=C(OC1C2=CC=3OCOC3C=4OCC5(C(=O)C(OC)=C(OC)C=C5CC(C)C1C)C42)C(=CC)C,literal,554576-1,en,literal,CID 16745528,,,literal,10.1021/NP0105127,,
21,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105345970,literal,Kadsura coccinea,literal,YBOYAYYCPCFQMW-MWVKEAAGSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4C(OC(=O)C)C(C)C1C)C(=CC)C,literal,554572-1,en,literal,"[(8S,9S,10R,11S)-8-acetyloxy-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl] (Z)-2-methylbut-2-enoate",,,literal,10.1021/NP1009288,,
22,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105387101,literal,Kadsura coccinea,literal,ZZUXCDZKNBWESL-QIUMVMEPSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C5OCOC5=CC4C(O)C(C)C1C)C=6C=CC=CC6,literal,554572-1,en,literal,"[(11R,12S,13R,14R)-14-hydroxy-3,22-dimethoxy-12,13-dimethyl-5,7,18,20-tetraoxapentacyclo[13.7.0.02,10.04,8.017,21]docosa-1(22),2,4(8),9,15,17(21)-hexaen-11-yl] benzoate",,,literal,10.1016/S0031-9422(01)00319-3,,
23,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135908,literal,Kadsura coccinea,literal,VMDLXEJHKASDPJ-YGGHMXSPSA-N,literal,CC1C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C4C1O)OC)OC)OC)OC)OCO3)OC(=O)C)C,literal,554572-1,en,literal,ananolignan D,literal,CHEMBL1782112,literal,10.1021/NP1009288,,
24,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104999544,literal,Kadsura heteroclita,literal,FQCWHBVZEXLSCM-QRPABVNTSA-N,literal,O=C1OC(CC=C1C)C(C)C2CCC3(C)C4CCC(=C(C)C)C5(CCC(=O)OCC)CC45CCC23C,literal,554576-1,en,literal,"ethyl 3-[(1S,4R,5R,8S,9R,13S)-4,8-dimethyl-5-[(1S)-1-[(2R)-5-methyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-12-propan-2-ylidene-13-tetracyclo[7.5.0.01,13.04,8]tetradecanyl]propanoate",,,literal,10.1002/HLCA.200690180,,
25,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104980307,literal,Kadsura heteroclita,literal,DHKOFLWROPIHJS-HWDZMEBBSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)C(=CC)C)C(C)C1C)C=CC=5C=CC=CC5,literal,554576-1,en,literal,Polysperlignan E,,,literal,10.1021/NP200937H,,
26,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104401812,literal,Kadsura heteroclita,literal,PZUDCPSZWPLXKT-WKYRDZLPSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4CC(C)C1C)C(=CC)C,literal,554576-1,en,literal,Heteroclitin C,,,literal,10.1016/0031-9422(92)90049-V,,
27,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104401812,literal,Kadsura heteroclita,literal,PZUDCPSZWPLXKT-WKYRDZLPSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4CC(C)C1C)C(=CC)C,literal,554576-1,en,literal,Heteroclitin C,,,literal,10.1248/CPB.40.1510,,
28,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104945694,literal,Kadsura heteroclita,literal,BTKZCBGTFRTOHM-YWBQJDOZSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)CC)C(C)C1C)C(=CC)C,literal,554576-1,en,literal,tiegusanin I,,,literal,10.1021/NP200937H,,
29,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135909,literal,Kadsura coccinea,literal,PPTXQFNYNVVYPV-HBJRXTQZSA-N,literal,CC1C(C(C2=CC(=C(C(=C2C3=C(C4=C(C=C3C1O)OCO4)OC)OC)OC)OC)OC(=O)C)C,literal,554572-1,en,literal,ananolignan E,literal,CHEMBL1782113,literal,10.1021/NP1009288,,
30,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105379356,literal,Kadsura coccinea,literal,ZMCRUDHUTIZNBA-XDZMNQSHSA-N,literal,O=C(O)CCC1(C)C(C(=C)C)CC=C2C1CCC3(C)C(CCC23C)C(C)CCC(O)C(=C)C,literal,554572-1,en,literal,"3-[(3R,3aR,5aS,6S,7S,9bR)-3-[(2R,5R)-5-hydroxy-6-methylhept-6-en-2-yl]-3a,6,9b-trimethyl-7-prop-1-en-2-yl-1,2,3,4,5,5a,7,8-octahydrocyclopenta[a]naphthalen-6-yl]propanoic acid",,,literal,10.1021/NP7007522,,
31,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104979929,literal,Kadsura heteroclita,literal,DHEFJFKRWXSOLG-WLRTULEQSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)C)C(C)C1(O)C)C(=CC)C,literal,554576-1,en,literal,"[(8S,9S,10S,11R)-11-acetyloxy-9-hydroxy-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-8-yl] (Z)-2-methylbut-2-enoate",,,literal,10.1055/S-2005-916213,,
32,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q105023175,literal,Kadsura heteroclita,literal,GXLUGCOZQDLXAJ-KEBDBYFISA-N,literal,O=C(O)C(=CCCC(C)C1C(=C)C2C=C3C(CCC(C(=C)C)C3(C)CCC(=O)O)C2(C)CC1)C,literal,554576-1,en,literal,Seconeokadsuranic acid A,,,literal,10.1055/S-2006-962012,,
33,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104401811,literal,Kadsura heteroclita,literal,PZUDCPSZWPLXKT-KAKKMECRSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4CC(C)C1C)C(=CC)C,literal,554576-1,en,literal,"[(9S,10S,11S)-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl] (E)-2-methylbut-2-enoate",,,literal,10.1016/0031-9422(92)90049-V,,
34,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104401811,literal,Kadsura heteroclita,literal,PZUDCPSZWPLXKT-KAKKMECRSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4CC(C)C1C)C(=CC)C,literal,554576-1,en,literal,"[(9S,10S,11S)-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl] (E)-2-methylbut-2-enoate",,,literal,10.1248/CPB.40.1510,,
35,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104392454,literal,Kadsura heteroclita,literal,ZWRRJEICIPUPHZ-DAOPMYJZSA-N,literal,OC1(C)CC=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3CC1C,literal,554576-1,en,literal,SchisandrinB,,,literal,10.1016/S0968-0896(97)00118-1,,
36,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104392454,literal,Kadsura heteroclita,literal,ZWRRJEICIPUPHZ-DAOPMYJZSA-N,literal,OC1(C)CC=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3CC1C,literal,554576-1,en,literal,SchisandrinB,,,literal,10.1021/NP0105127,,
37,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105374158,literal,Kadsura coccinea,literal,ZFHFPJFDGITNFX-BMEWFBCLSA-N,literal,O=C(O)C(=CCCC(C)C1C(=C)C2CC3=C(CCC(C(C(=O)O)(C)C)C3(C)CC(=O)O)C2(C)CC1)C,literal,554572-1,en,literal,"(Z,6R)-6-[(2R,4aR,7R,8S,9aS)-8-(carboxymethyl)-7-(2-carboxypropan-2-yl)-4a,8-dimethyl-1-methylidene-2,3,4,5,6,7,9,9a-octahydrofluoren-2-yl]-2-methylhept-2-enoic acid",,,literal,10.1021/ACS.JNATPROD.5B00392,,
38,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q15424795,literal,Kadsura coccinea,literal,RLRKIWSBYUZHIJ-OKILXGFUSA-N,literal,CC(CC1=CC(=C(C(=C1)OC)OC)O)C(C)CC2=CC(=C(C(=C2)OC)OC)O,literal,554572-1,en,literal,pregomisin,literal,CHEMBL1081697,literal,10.1016/J.TET.2011.04.105,literal,66280-26-0
39,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q121802,literal,Kadsura coccinea,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,literal,554572-1,en,literal,beta-sitosterol,,,literal,10.1002/CHIN.200706168,literal,64997-52-0
40,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135917,literal,Kadsura coccinea,literal,GXKNDJXUIKGIKK-WDJHCCQWSA-N,literal,CC1C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C4C1OC(=O)C)OC)OC)OC)OC)OCO3)OC(=O)C5=CC=CC=C5)C,literal,554572-1,en,literal,ananolignan K,literal,CHEMBL1782119,literal,10.1021/NP1009288,,
41,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105344440,literal,Kadsura coccinea,literal,XYEDKUVFIZKJOE-FVQDMYIDSA-N,literal,O=C1OC(C)(C)C2C(O)CC3C4(C)CCC(C(O)(C)C5OC(=O)C(=CC5)C)C4(C)CCC63CC26C=C1,literal,554572-1,en,literal,"(1S,3S,9S,10R,12S,13S,16S,17R)-10-hydroxy-16-[(1R)-1-hydroxy-1-[(2R)-5-methyl-6-oxo-2,3-dihydropyran-2-yl]ethyl]-8,8,13,17-tetramethyl-7-oxapentacyclo[10.7.0.01,3.03,9.013,17]nonadec-4-en-6-one",,,literal,10.1016/J.TET.2008.10.011,,
42,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27134649,literal,Kadsura coccinea,literal,JDOHERDAOGEJFF-ASWXAAPUSA-N,literal,CC1C2C(CC3=C1C(CC4(C3CC5(C4CCC6C(=C5)C=CC(=O)OC6(C)C)O)C)O)C=C(C(=O)O2)C,literal,554572-1,en,literal,kadlongilactone A,literal,CHEMBL404848,literal,10.1016/J.TET.2008.10.011,,
43,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104921795,literal,Kadsura heteroclita,literal,AZMQTBXLMHEDNG-JCNFZPKBSA-N,literal,OC1(C)C(OC=2C=CC=CC2)C3=CC=4OCOC4C(OC)=C3C=5C(OC)=C(OC)C(OC)=CC5CC1C,literal,554576-1,en,literal,"(9S,10S,11S)-3,4,5,19-tetramethoxy-9,10-dimethyl-11-phenoxy-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-10-ol",,,literal,10.1016/S0968-0896(97)00118-1,,
44,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104921795,literal,Kadsura heteroclita,literal,AZMQTBXLMHEDNG-JCNFZPKBSA-N,literal,OC1(C)C(OC=2C=CC=CC2)C3=CC=4OCOC4C(OC)=C3C=5C(OC)=C(OC)C(OC)=CC5CC1C,literal,554576-1,en,literal,"(9S,10S,11S)-3,4,5,19-tetramethoxy-9,10-dimethyl-11-phenoxy-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-10-ol",,,literal,10.1021/NP0105127,,
45,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27134650,literal,Kadsura coccinea,literal,REUCSCMILGJJCP-SCPJPNRMSA-N,literal,CC1C2C(CC3=C1C(=O)CC4(C3CC5(C4CCC6C(=C5)C=CC(=O)OC6(C)C)O)C)C=C(C(=O)O2)C,literal,554572-1,en,literal,kadlongilactone B,,,literal,10.1016/J.TET.2008.10.011,,
46,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q105229207,literal,Kadsura polysperma,literal,QWIXWIQRZHRKNQ-OFJKUSFOSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4CC(C)C1C)C=CC=5C=CC=CC5,literal,554592-1,en,literal,KadsuphilinA,,,literal,10.1021/NP200937H,,
47,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q105027601,literal,Kadsura polysperma,literal,HFXDDWNNHDACFM-CHAFYSCPSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)C(=CC)C)C(C)C1C)C(=CC)C,literal,554592-1,en,literal,"[(8R,9S,10R,11R)-3,4,5,19-tetramethoxy-9,10-dimethyl-8-(2-methylbut-2-enoyloxy)-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl] (E)-2-methylbut-2-enoate",,,literal,10.1021/NP200937H,,
48,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104958331,literal,Kadsura heteroclita,literal,CGWKMZYZZCWGCK-UHFFFAOYSA-N,literal,O=C(OC1C2=CC=3OCOC3C=4OCC5(C(=O)C(OC)=C(OC)C=C5CC(C)C1C)C42)C(=CC)C,literal,554576-1,en,literal,"(18,19-Dimethoxy-13,14-dimethyl-20-oxo-3,6,8-trioxapentacyclo[9.9.1.01,16.04,21.05,9]henicosa-4(21),5(9),10,16,18-pentaen-12-yl) 2-methylbut-2-enoate",,,literal,10.1016/J.PHYTOCHEM.2007.11.019,,
49,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105329212,literal,Kadsura coccinea,literal,XJUCSJGKOJDKQX-WFZMJORVSA-N,literal,O=C1OC(C)(C)C2C(OC(=O)C)CC3C(O)(CC4C(=C)C(CCC43C)C(C)C5OC(=O)C(=CC5)C)C6OC62C=C1,literal,554572-1,en,literal,Longipedlactone O,,,literal,10.1021/NP900506G,,
50,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q110172822,literal,Kadsura coccinea,literal,GXKNDJXUIKGIKK-UHFFFAOYSA-N,literal,O=C(OC1C2=CC=3OCOC3C(OC)=C2C=4C(OC)=C(OC)C(OC)=CC4C(OC(=O)C)C(C)C1C)C=5C=CC=CC5,literal,554572-1,en,literal,"(8-Acetyloxy-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-11-yl) benzoate",,,literal,10.1021/NP1009288,,
51,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q105366989,literal,Kadsura coccinea,literal,YWOQCMUIZIFGSH-IXWDATCTSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)CCC)C(C)C1C)C(=CC)C,literal,554572-1,en,literal,"[(8R,9S,10R,11R)-11-butanoyloxy-3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-8-yl] 2-methylbut-2-enoate",,,literal,10.1021/NP1009288,,
52,uri,http://www.wikidata.org/entity/Q10924975,uri,http://www.wikidata.org/entity/Q27135914,literal,Kadsura coccinea,literal,BYWYHNJXDVXTHJ-ZSXZNSMSSA-N,literal,CC1C(C(C2=CC3=C(C(=C2C4=C(C(=C(C=C4C1OC(=O)C)OC)OC)OC)OC)OCO3)OC(=O)C(C)C)C,literal,554572-1,en,literal,ananolignan H,literal,CHEMBL1782116,literal,10.1021/NP1009288,,
53,uri,http://www.wikidata.org/entity/Q10932548,uri,http://www.wikidata.org/entity/Q105027602,literal,Kadsura polysperma,literal,HFXDDWNNHDACFM-JSAQTMETSA-N,literal,O=C(OC1C=2C=C(OC)C(OC)=C(OC)C2C3=C(OC)C=4OCOC4C=C3C(OC(=O)C(=CC)C)C(C)C1C)C(=CC)C,literal,554592-1,en,literal,Polysperlignan A,,,literal,10.1021/NP200937H,,
54,uri,http://www.wikidata.org/entity/Q11066007,uri,http://www.wikidata.org/entity/Q104415326,literal,Kadsura heteroclita,literal,NPJICTMALKLTFW-UHFFFAOYSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C)CCC(CC)C(C)C)C3(C)CC2)C(O)C(O)C1O,literal,554576-1,en,literal,beta-Sitosterol 3-O-beta-D-galactopyranoside,,,literal,10.1021/NP0505521,,
