,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,ipniID.type,ipniID,refDOI.type,refDOI,structure_cas.type,structure_cas,chembl_id.type,chembl_id
10,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q105348463,literal,Paris polyphylla var. chinensis,literal,YHKROSUJLZTZDS-IOLWVCCESA-N,literal,OCC1OC(OCC(C)CCC2(O)OC3CC4C5CC=C6CC(OC7OC(CO)C(OC8OC(C)C(OC9OC(C)C(O)C(O)C9O)C(O)C8O)C(O)C7OC%10OC(C)C(O)C(O)C%10O)CCC6(C)C5CCC4(C)C3C2C)C(O)C(O)C1O,en,literal,Asperosid,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,,,,
11,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110174527,literal,Chamaelirium luteum,literal,SJLLAOHWHAIKHM-YFCMGWRYSA-N,literal,OCC(C)CCC(O)C(C)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3C(O)CC21C,en,literal,"(22S,25R)-Cholesta-5-ene-3beta,11alpha,16beta,22,26-pentaol",literal,532651-1,literal,10.1021/NP300393Y,,,,
12,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q105156019,literal,Veratrum oblongum,literal,LQZYJVWXEFXUJG-OPPBMFSOSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 3,4-dimethoxybenzoate",literal,543518-1,literal,10.1016/0031-9422(94)00672-G,literal,31329-58-5,,
13,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q105277001,literal,Schoenocaulon officinale,literal,UPUMEBJDZQEUFC-CUYWLFDKSA-N,literal,OC1=CC=C(C=CC=2C=C(O)C=C(O)C2)C(OC3OC(CO)C(O)C(O)C3O)=C1,en,literal,Oxyresveratrol 2-O-beta-D-glucopyranoside,literal,540614-1,literal,10.1248/CPB.50.863,,,,
14,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q1100,literal,Paris polyphylla var. chinensis,literal,PORWMNRCUJJQNO-UHFFFAOYSA-N,literal,[Te],en,literal,tellurium,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,literal,13494-80-9,,
15,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q105179767,literal,Veratrum oblongum,literal,NIEIJAOPLMFSMK-OQOMCRFNSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(O)C(OC)=C8,en,literal,"[(1S,2R,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 4-hydroxy-3-methoxybenzoate",literal,543518-1,literal,10.1016/0031-9422(94)00672-G,,,,
16,uri,http://www.wikidata.org/entity/Q3849177,uri,http://www.wikidata.org/entity/Q105156019,literal,Toxicoscordion venenosum,literal,LQZYJVWXEFXUJG-OPPBMFSOSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] 3,4-dimethoxybenzoate",literal,255815-2,literal,10.1021/JA01101A004,literal,31329-58-5,,
17,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110177970,literal,Chamaelirium luteum,literal,PBANUTGLRFPOSU-GTTOANGYSA-N,literal,O=C1CC2C(CCC3(C)C2CC(O)C3C(C)CC(O)C(O)C(C)C)C4(C)CCC(O)CC14,en,literal,"(23R,24S)-Chiograsterol A",literal,532651-1,literal,10.1021/NP300393Y,,,,
18,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q105299605,literal,Veratrum oblongum,literal,VZBCOPRNVQLISP-RHOBIVGRSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C(=CC)C,en,literal,Angeloylzygadenin,literal,543518-1,literal,10.1016/0031-9422(94)00672-G,,,,
19,uri,http://www.wikidata.org/entity/Q32376373,uri,http://www.wikidata.org/entity/Q104252510,literal,Toxicoscordion venenosum var. venenosum,literal,IGDRXLIXNAWBBF-GQZIBLLMSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C,en,literal,"[(1S,2S,6S,9S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] acetate",,,literal,10.1016/0031-9422(92)83697-W,,,,
20,uri,http://www.wikidata.org/entity/Q32376373,uri,http://www.wikidata.org/entity/Q104252510,literal,Toxicoscordion venenosum var. venenosum,literal,IGDRXLIXNAWBBF-GQZIBLLMSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C,en,literal,"[(1S,2S,6S,9S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] acetate",,,literal,10.1021/JF960763Z,,,,
21,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q104399161,literal,Paris polyphylla var. chinensis,literal,OBVNUYXMOLOYPW-GLVHLHEVSA-N,literal,OCC1OC(OC2C(O)C(O)C(OC3CC4=CCC5C(CCC6(C)C5CC7OC8(OCC(C)CC8)C(C)C76)C4(C)CC3)OC2CO)C(O)C(O)C1O,en,literal,Diosgenin diglucoside,literal,77188961-1,literal,10.1016/J.JPBA.2011.12.027,,,,
22,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110174658,literal,Chamaelirium luteum,literal,JSIAZKJRGUBWPC-RRGAOSSJSA-N,literal,OCC1OC(OCC2OC(OC3CCC4(C)C(C3)C(O)CC5C4CCC6(C)C5CC(O)C6C(C)CC(O)C(OC7OC(C)C(O)C(O)C7O)C(C)C)C(O)C(O)C2O)C(O)C(O)C1O,en,literal,Chamaeliroside B,literal,532651-1,literal,10.1021/NP300393Y,,,,
23,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q105243080,literal,Schoenocaulon officinale,literal,RPWGPITYYOQXEV-YMQHIKHWSA-N,literal,OC=1C=C(OC2OC(CO)C(O)C(O)C2O)C=C(C1)C=3OC=4C=C(O)C(OC)=CC4C3,en,literal,Schoenoside,literal,540614-1,literal,10.1248/CPB.50.863,,,,
24,uri,http://www.wikidata.org/entity/Q3849177,uri,http://www.wikidata.org/entity/Q105112547,literal,Toxicoscordion venenosum,literal,IGDRXLIXNAWBBF-JRLIYKMQSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,18S,19S,22S,23S,25R)-10,12,13,14,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl] acetate",literal,255815-2,literal,10.1021/JA01608A043,literal,2777-79-9,,
25,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110177765,literal,Chamaelirium luteum,literal,INUVWOFKWFJJFJ-WLMGVJRSSA-N,literal,O=C(OC1CC2=CCC3C(CCC4(C)C3CC(OC(=O)C)C4C(C(=O)CCC(C)CO)C)C2(C)CC1)C,en,literal,"[(3S,8S,9S,10R,13S,14S,16S,17R)-16-acetyloxy-17-[(2S,6R)-7-hydroxy-6-methyl-3-oxoheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",literal,532651-1,literal,10.1021/NP300393Y,,,,
26,uri,http://www.wikidata.org/entity/Q90433019,uri,http://www.wikidata.org/entity/Q105381579,literal,Chamaelirium japonicum,literal,ZQNYDKADAGQIHK-OQFAILRBSA-N,literal,O=C1CC(C)C2C(OC1C(C)C)CC3C4CC(=O)C5CC(O)CCC5(C)C4C(O)CC32C,en,literal,"(1S,2R,4S,6R,9R,10S,11S,13R,14S,15R,18S,20S)-13,18-dihydroxy-9,11,15-trimethyl-6-propan-2-yl-5-oxapentacyclo[12.8.0.02,11.04,10.015,20]docosane-7,21-dione",literal,77163562-1,literal,10.1002/JLAC.19707420122,,,,
27,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q105291662,literal,Veratrum album var. oxysepalum,literal,VRBNGKPRTHBEIQ-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C5=NCC(C)CC5)C)C2(C)CC1,en,literal,"10,13-dimethyl-17-[1-(3-methyl-2,3,4,5-tetrahydropyridin-6-yl)ethyl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,262864-2,literal,10.1248/CPB.39.549,,,,
28,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q105291662,literal,Veratrum album var. oxysepalum,literal,VRBNGKPRTHBEIQ-UHFFFAOYSA-N,literal,OC1CC2=CCC3C(CCC4(C)C(CCC34)C(C5=NCC(C)CC5)C)C2(C)CC1,en,literal,"10,13-dimethyl-17-[1-(3-methyl-2,3,4,5-tetrahydropyridin-6-yl)ethyl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-ol",literal,262864-2,literal,10.1055/S-2006-961511,,,,
29,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q105293154,literal,Paris polyphylla var. chinensis,literal,VUBCOFCCIFBERZ-QUOJMMGDSA-N,literal,O=C1C=C2C(CCC3(C)C(CCC23O)C(O)(C)CCC(O)C(O)(C)C)C4(C)CC(O)C(O)CC14,en,literal,"(2S,3R,5R,9R,10R,13R,14S,17S)-2,3,14-trihydroxy-10,13-dimethyl-17-[(2S,5R)-2,5,6-trihydroxy-6-methylheptan-2-yl]-2,3,4,5,9,11,12,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-6-one",literal,77188961-1,literal,10.1007/S10600-007-0225-8,,,,
30,uri,http://www.wikidata.org/entity/Q12606851,uri,http://www.wikidata.org/entity/Q105156021,literal,Veratrum maackii var. japonicum,literal,LQZYJVWXEFXUJG-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,Veratroylzygadenin,,,literal,10.1248/CPB.59.909,,,,
31,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q105306055,literal,Paris polyphylla var. chinensis,literal,WHWWQGPCTUQCMN-JDDKMXSSSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65O)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1O,en,literal,polyphyllin VI,literal,77188961-1,literal,10.1007/S10600-007-0225-8,literal,55916-51-3,,
32,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110172851,literal,Chamaelirium luteum,literal,SJLLAOHWHAIKHM-UHFFFAOYSA-N,literal,OCC(C)CCC(O)C(C)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3C(O)CC21C,en,literal,"17-(3,7-dihydroxy-6-methylheptan-2-yl)-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,11,16-triol",literal,532651-1,literal,10.1021/NP200100A,,,,
33,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q105280341,literal,Veratrum oblongum,literal,UWGBIKPRXRSRNM-MDGXCQEFSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(O)C)C5(O)CC42OCC13O)C(=CC)C,en,literal,"[(1R,2S,5S,6S,9S,10S,13R,15R,16S,20S,23S,24R,25S,26S)-1,10,15,24,25,26-hexahydroxy-6,20,24-trimethyl-12-oxa-18-azaheptacyclo[13.12.0.02,13.05,10.06,13.016,25.018,23]heptacosan-9-yl] (Z)-2-methylbut-2-enoate",literal,543518-1,literal,10.1016/0031-9422(94)00672-G,,,,
34,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q105008286,literal,Schoenocaulon officinale,literal,GGQVPULXXVQLRT-JTHNCSCQSA-N,literal,OC1=CC=C(C=CC=2C=C(O)C=C(OC3OC(CO)C(O)C(O)C3O)C2)C(O)=C1,en,literal,"(2S,3R,4S,5R,6R)-2-[3-[(E)-2-(2,4-dihydroxyphenyl)ethenyl]-5-hydroxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,540614-1,literal,10.1248/CPB.50.863,,,,
35,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q104888296,literal,Veratrum album var. oxysepalum,literal,XLQGICHHYYWYIU-WHNQNWTDSA-N,literal,OC1CC2=CCC3C4C(=CCC3C2(C)CC1)C5(C)C(OC6(NCC(C)CC6)C5C)C4,en,literal,"(1R,2S,4R,5'S,6S,7S,8S,12S,13R,16S)-5',7,8,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-9,18-diene-6,2'-piperidine]-16-ol",literal,262864-2,literal,10.1007/BF00579512,,,,
36,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q104921296,literal,Veratrum album var. oxysepalum,literal,AYOMVZRFSHNOFY-DWWACZNQSA-N,literal,OCC1OC(OC2CC(C)CNC2C(C3=CC=C4C(=C3C)CC5C4CC=C6CC(O)CCC65C)C)C(O)C(O)C1O,en,literal,"(20R)-23beta-(beta-D-Glucopyranosyloxy)-14,15,16,17-tetradehydroveratraman-3beta-ol",literal,262864-2,literal,10.1002/JLAC.199319930148,,,,
37,uri,http://www.wikidata.org/entity/Q9332551,uri,http://www.wikidata.org/entity/Q105206501,literal,Schoenocaulon officinale,literal,PDHAOJSHSJQANO-UHFFFAOYSA-N,literal,OC1=CC=C(C=CC=2C=C(O)C=C(O)C2)C(O)=C1,en,literal,"5-[2-(2,4-dihydroxyphenyl)ethenyl]benzene-1,3-diol",literal,540614-1,literal,10.1248/CPB.50.863,,,,
38,uri,http://www.wikidata.org/entity/Q12606851,uri,http://www.wikidata.org/entity/Q105299606,literal,Veratrum maackii var. japonicum,literal,VZBCOPRNVQLISP-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C(=CC)C,en,literal,"(10,12,13,14,23-Pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-22-yl) 2-methylbut-2-enoate",,,literal,10.1248/CPB.59.909,,,,
39,uri,http://www.wikidata.org/entity/Q24692764,uri,http://www.wikidata.org/entity/Q105240877,literal,Veratrum album var. oxysepalum,literal,RMMINDRCVQZDMN-UHFFFAOYSA-N,literal,OC1CC2=CCC3C4CC(O)C5C(CN6CC(C)CCC6C5(O)C)C4CC3C2(C)CC1,en,literal,"6,10,23-Trimethyl-4-azahexacyclo[12.11.0.02,11.04,9.015,24.018,23]pentacos-17-ene-10,12,20-triol",literal,262864-2,literal,10.1007/BF00579512,,,,
40,uri,http://www.wikidata.org/entity/Q10905961,uri,http://www.wikidata.org/entity/Q104400399,literal,Paris polyphylla var. chinensis,literal,HDXIQHTUNGFJIC-FOAHKCLGSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C4CC6OC7(OCC(C)CC7)C(C)C65)C3(C)CC2)C(OC8OC(C)C(O)C(O)C8O)C(O)C1O,en,literal,Prosapogenin A,literal,77188961-1,literal,10.1007/S10600-007-0225-8,literal,19057-67-1,,
41,uri,http://www.wikidata.org/entity/Q15547724,uri,http://www.wikidata.org/entity/Q105156021,literal,Veratrum shanense,literal,LQZYJVWXEFXUJG-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,Veratroylzygadenin,literal,543531-1,literal,10.1007/BF00580584,,,,
42,uri,http://www.wikidata.org/entity/Q15547724,uri,http://www.wikidata.org/entity/Q105156021,literal,Veratrum shanense,literal,LQZYJVWXEFXUJG-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,Veratroylzygadenin,literal,543531-1,literal,10.1016/0031-9422(94)00672-G,,,,
43,uri,http://www.wikidata.org/entity/Q15547724,uri,http://www.wikidata.org/entity/Q105156021,literal,Veratrum shanense,literal,LQZYJVWXEFXUJG-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OC13O)C8=CC=C(OC)C(OC)=C8,en,literal,Veratroylzygadenin,literal,543531-1,literal,10.1007/BF00575783,,,,
44,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110177978,literal,Chamaelirium luteum,literal,OAINTSYRDOUQHU-GTEDTODYSA-N,literal,OC1CCC2(C)C3CCC4(C)C(CC(O)C4C(C)CC5OC(OC5C(C)C)(C)C)C3CC(O)C2C1,en,literal,"(3S,5S,6R,8R,9S,10R,13S,14S,16S,17R)-17-[(2R)-1-[(4R,5S)-2,2-dimethyl-5-propan-2-yl-1,3-dioxolan-4-yl]propan-2-yl]-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthrene-3,6,16-triol",literal,532651-1,literal,10.1021/NP300393Y,,,,
45,uri,http://www.wikidata.org/entity/Q2706129,uri,http://www.wikidata.org/entity/Q110177987,literal,Chamaelirium luteum,literal,SEWNNXVVYUZUPK-PXHDJTSWSA-N,literal,O=C(OCC(C)CCC(OC(=O)C)C(C)C1C(OC(=O)C)CC2C3CC=C4CC(OC(=O)C)CCC4(C)C3CCC21C)C,en,literal,"Cholest-5-ene-3,16,22,26-tetrol, 3,16,22,26-tetraacetate, (3beta,16beta,22R,25R)-",literal,532651-1,literal,10.1021/NP300393Y,literal,123748-70-9,,
46,uri,http://www.wikidata.org/entity/Q3849177,uri,http://www.wikidata.org/entity/Q104955209,literal,Toxicoscordion venenosum,literal,CDTUWAZCNSYUTG-ZUNZDKPLSA-N,literal,O=C(OC1CC2C3(O)OC4(CC5C6CN7CC(C)CCC7C(O)(C)C6C(O)C(OC(=O)C(C)CC)C5(O)C14)C2(C)CCC3O)C,en,literal,"[(1S,2S,6S,9S,10S,11R,12R,13S,14S,15S,16R,18S,19S,22S,23S,25R)-16-acetyloxy-10,12,14,22,23-pentahydroxy-6,10,19-trimethyl-24-oxa-4-azaheptacyclo[12.12.0.02,11.04,9.015,25.018,23.019,25]hexacosan-13-yl] (2R)-2-methylbutanoate",literal,255815-2,literal,10.1021/JA01132A539,,,,
47,uri,http://www.wikidata.org/entity/Q15250569,uri,http://www.wikidata.org/entity/Q105369976,literal,Veratrum oblongum,literal,ZAOIBYFIMMGYJQ-CLMJUTLZSA-N,literal,O=C(OC1CCC2(C)C3CCC4C5(O)C(O)C(O)C6C(CN7CC(C)CCC7C6(O)C)C5CC42OCC13O)C(=CC)C,en,literal,"[(1S,2S,5S,6S,9S,10S,13R,15S,16S,20S,23S,24S,25R,26R,27S)-1,10,24,26,27-pentahydroxy-6,20,24-trimethyl-12-oxa-18-azaheptacyclo[13.12.0.02,13.05,10.06,13.016,25.018,23]heptacosan-9-yl] (Z)-2-methylbut-2-enoate",literal,543518-1,literal,10.1016/0031-9422(94)00672-G,,,,
48,uri,http://www.wikidata.org/entity/Q15538291,uri,http://www.wikidata.org/entity/Q104396345,literal,Anticlea sibirica,literal,SXWWLSYGHPJWBN-XWBZJNMKSA-N,literal,OCC1OC(OC2CC3=CCC4C(CCC5(C)C(CCC45)C(C6=NCC(C)CC6)C)C3(C)CC2)C(O)C(O)C1O,en,literal,Verazinine,literal,530824-1,literal,10.1007/BF00574208,,,,
