,organism.type,organism,structure.type,structure,organism_name.type,organism_name,structure_inchikey.type,structure_inchikey,structure_smiles.type,structure_smiles,structureLabel.xml:lang,structureLabel.type,structureLabel,refDOI.type,refDOI,ipniID.type,ipniID,structure_cas.type,structure_cas,chembl_id.type,chembl_id
19,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q104908472,literal,Hydnocarpus annamensis,literal,AAZJIDQNEUWCEO-UHFFFAOYSA-N,literal,OC1=C(OC)C=C(C=C1OC)C(O)C(OC2OC(CO)C(O)C(O)C2O)CO,en,literal,"2-[1,3-Dihydroxy-1-(4-hydroxy-3,5-dimethoxyphenyl)propan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1055/S-2006-946678,literal,365607-1,,,,
20,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q191700,literal,Hydnocarpus annamensis,literal,WPYMKLBDIGXBTP-UHFFFAOYSA-N,literal,C1=CC=C(C=C1)C(=O)O,en,literal,benzoic acid,literal,10.1055/S-2006-946678,literal,365607-1,literal,65-85-0,literal,CHEMBL541
21,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q909638,literal,Hydnocarpus octandra,literal,GNRIZKKCNOBBMO-UHFFFAOYSA-N,literal,CC(=CCC1=C(C=C2C(=C1O)C(=O)C3=C(C(=C(C=C3O2)O)OC)CC=C(C)C)O)C,en,literal,mangostin,literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,literal,6147-11-1,literal,CHEMBL323197
22,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q82123562,literal,Hydnocarpus annamensis,literal,LTEPZFZSPZASKJ-UHFFFAOYSA-N,literal,C1=CC(=CC=C1C(=O)CCO)O,en,literal,"3,4'-Dihydroxypropiophenone",literal,10.1055/S-2006-946678,literal,365607-1,literal,53170-93-7,,
23,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q104993568,literal,Hydnocarpus anthelminthicus,literal,FDGHZUQYDACRTA-IBGZPJMESA-N,literal,O=C(OCC)CCCCCCCCCCCCC1C=CCC1,en,literal,ethyl 13-[(1R)-cyclopent-2-en-1-yl]tridecanoate,literal,10.1002/CBDV.201000072,literal,365610-1,,,,
24,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q384111,literal,Hydnocarpus pentandrus,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1055/S-0028-1097302,literal,365635-1,literal,472-15-1,literal,CHEMBL269277
25,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q384111,literal,Hydnocarpus pentandrus,literal,QGJZLNKBHJESQX-FZFNOLFKSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,en,literal,betulinic acid,literal,10.1021/NP50077A010,literal,365635-1,literal,472-15-1,literal,CHEMBL269277
26,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q104945812,literal,Hydnocarpus anthelminthicus,literal,BTRMYWIRJSMBSF-UHFFFAOYSA-N,literal,O=C(O)CCCCCCCCCC(=O)C1=CCCC1,en,literal,11-(cyclopent-1-en-1-yl)-11-oxoundecanoic acid,literal,10.1002/CBDV.201000072,literal,365610-1,,,,
27,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q54366274,literal,Hydnocarpus pentandrus,literal,LKYXRLKMAYFZDK-UHFFFAOYSA-N,literal,C1CC(C=C1)CCCCC(=O)O,en,literal,Aleprestic acid,literal,10.1021/JA01267A064,literal,365635-1,,,,
28,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q54366274,literal,Hydnocarpus pentandrus,literal,LKYXRLKMAYFZDK-UHFFFAOYSA-N,literal,C1CC(C=C1)CCCCC(=O)O,en,literal,Aleprestic acid,literal,10.1021/JA01878A025,literal,365635-1,,,,
29,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q104993568,literal,Hydnocarpus castaneus,literal,FDGHZUQYDACRTA-IBGZPJMESA-N,literal,O=C(OCC)CCCCCCCCCCCCC1C=CCC1,en,literal,ethyl 13-[(1R)-cyclopent-2-en-1-yl]tridecanoate,literal,10.1002/CBDV.201000072,literal,111741-1,,,,
30,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q104945812,literal,Hydnocarpus castaneus,literal,BTRMYWIRJSMBSF-UHFFFAOYSA-N,literal,O=C(O)CCCCCCCCCC(=O)C1=CCCC1,en,literal,11-(cyclopent-1-en-1-yl)-11-oxoundecanoic acid,literal,10.1002/CBDV.201000072,literal,111741-1,,,,
31,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q27131069,literal,Hydnocarpus castaneus,literal,XMVQWNRDPAAMJB-QGZVFWFLSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(S)-chaulmoogric acid,literal,10.1002/CBDV.201000072,literal,111741-1,literal,29106-32-9,literal,CHEMBL2204421
32,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q27131069,literal,Hydnocarpus castaneus,literal,XMVQWNRDPAAMJB-QGZVFWFLSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(S)-chaulmoogric acid,literal,10.1016/S0021-9673(01)92485-9,literal,111741-1,literal,29106-32-9,literal,CHEMBL2204421
33,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q111241257,literal,Hydnocarpus octandra,literal,FDSRANQONSPDDS-UHFFFAOYSA-N,literal,O=C(O)C1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C)C(O)CCC5C4(C)CCC3(C)C2C1,en,literal,"10-Hydroxy-2,4a,6a,6a,8a,9,14a-heptamethyl-1,3,4,5,6,6b,7,8,9,10,11,12,12a,13,14,14b-hexadecahydropicene-2-carboxylic acid",literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,,,,
34,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q110197891,literal,Hydnocarpus annamensis,literal,PRNUNFFFZRGWMP-UHFFFAOYSA-N,literal,O=C(OC1C(O)C(OC2=CC=C(O)C=C2CO)OC(CO)C1O)C=3C=CC=CC3,en,literal,"[3,5-Dihydroxy-2-[4-hydroxy-2-(hydroxymethyl)phenoxy]-6-(hydroxymethyl)oxan-4-yl] benzoate",literal,10.1055/S-2006-946678,literal,365607-1,,,,
35,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q409366,literal,Hydnocarpus pentandrus,literal,MQYXUWHLBZFQQO-QGTGJCAVSA-N,literal,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,en,literal,lupeol,literal,10.1021/NP50077A010,literal,365635-1,literal,545-47-1,literal,CHEMBL289191
36,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q105220437,literal,Hydnocarpus anthelminthicus,literal,QGMULYBZWIWTIF-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(C5=CC=C(O)C=C5)C(OC4C3)CO,en,literal,"5,7-Dihydroxy-2-[3-(hydroxymethyl)-2-(4-hydroxyphenyl)-2,3-dihydro-1,4-benzodioxin-6-yl]chromen-4-one",literal,10.1080/10286020.2010.543131,literal,365610-1,,,,
37,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q110198696,literal,Hydnocarpus annamensis,literal,OANKJSUXMPAWAT-UHFFFAOYSA-N,literal,OC=1C=C(OC)C=C(C1)CO,en,literal,3-(hydroxymethyl)-5-methoxyphenol,literal,10.1055/S-2006-946678,literal,365607-1,literal,30891-29-3,,
38,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q27131069,literal,Hydnocarpus anthelminthicus,literal,XMVQWNRDPAAMJB-QGZVFWFLSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(S)-chaulmoogric acid,literal,10.1002/CBDV.201000072,literal,365610-1,literal,29106-32-9,literal,CHEMBL2204421
39,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q27131069,literal,Hydnocarpus anthelminthicus,literal,XMVQWNRDPAAMJB-QGZVFWFLSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(S)-chaulmoogric acid,literal,10.1016/S0021-9673(01)92485-9,literal,365610-1,literal,29106-32-9,literal,CHEMBL2204421
40,uri,http://www.wikidata.org/entity/Q17565338,uri,http://www.wikidata.org/entity/Q105220437,literal,Hydnocarpus castaneus,literal,QGMULYBZWIWTIF-UHFFFAOYSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(C5=CC=C(O)C=C5)C(OC4C3)CO,en,literal,"5,7-Dihydroxy-2-[3-(hydroxymethyl)-2-(4-hydroxyphenyl)-2,3-dihydro-1,4-benzodioxin-6-yl]chromen-4-one",literal,10.1080/10286020.2010.543131,literal,111741-1,,,,
41,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q111242185,literal,Hydnocarpus pentandrus,literal,KMYJDVOGPCWOTR-JMUVRVIPSA-N,literal,O=C1C=C(OC=2C=C(O)C=C(O)C12)C=3C=CC=4OC(CO)C(OC4C3)C5=CC(OC)=C(O)C(=C5)C(=CC6=CC=C(O)C(OC)=C6)CO,en,literal,"5,7-dihydroxy-2-[(2S,3S)-3-[4-hydroxy-3-[(Z)-3-hydroxy-1-(4-hydroxy-3-methoxyphenyl)prop-1-en-2-yl]-5-methoxyphenyl]-2-(hydroxymethyl)-2,3-dihydro-1,4-benzodioxin-6-yl]chromen-4-one",literal,10.1021/NP50077A010,literal,365635-1,,,,
42,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q2823268,literal,Hydnocarpus pentandrus,literal,SRELFLQJDOTNLJ-UHFFFAOYSA-N,literal,C1CC(C=C1)CCCCCCCCCCC(=O)O,en,literal,(+/-)-hydnocarpic acid,literal,10.1021/JA01267A064,literal,365635-1,literal,94300-40-0,,
43,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q2823268,literal,Hydnocarpus pentandrus,literal,SRELFLQJDOTNLJ-UHFFFAOYSA-N,literal,C1CC(C=C1)CCCCCCCCCCC(=O)O,en,literal,(+/-)-hydnocarpic acid,literal,10.1039/CT9058700884,literal,365635-1,literal,94300-40-0,,
44,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q2823268,literal,Hydnocarpus pentandrus,literal,SRELFLQJDOTNLJ-UHFFFAOYSA-N,literal,C1CC(C=C1)CCCCCCCCCCC(=O)O,en,literal,(+/-)-hydnocarpic acid,literal,10.1021/JA01878A025,literal,365635-1,literal,94300-40-0,,
45,uri,http://www.wikidata.org/entity/Q5954066,uri,http://www.wikidata.org/entity/Q102302396,literal,Hydnocarpus anthelminticus,literal,XMVQWNRDPAAMJB-KRWDZBQOSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(R)-chaulmoogric acid,literal,10.1016/S0021-9673(01)92485-9,,,literal,1017254-68-0,,
46,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q105187236,literal,Hydnocarpus octandra,literal,NXKDUDYUASKXAY-UHFFFAOYSA-N,literal,O=C(OC1CCC2C(C)(CCC3C2(C)CCC4(C)C5CC(C)(C)CCC5(C)CCC34C)C1C)C,en,literal,"(4,4a,6a,6b,8a,11,11,14a-Octamethyl-1,2,3,4,5,6,6a,7,8,9,10,12,12a,13,14,14b-hexadecahydropicen-3-yl) acetate",literal,10.1039/P19770000418,literal,111760-1,,,,
47,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q104963443,literal,Hydnocarpus octandra,literal,CLHQWLNBKSRSPE-UHFFFAOYSA-N,literal,O=CC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C(=O)CCC5C4(C)CCC3(C)C2C1)C,en,literal,"2,4a,6a,6a,8a,9,14a-heptamethyl-10-oxo-3,4,5,6,6b,7,8,9,11,12,12a,13,14,14b-tetradecahydro-1H-picene-2-carbaldehyde",literal,10.1039/P19770000418,literal,111760-1,,,,
48,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q104963443,literal,Hydnocarpus octandra,literal,CLHQWLNBKSRSPE-UHFFFAOYSA-N,literal,O=CC1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C(=O)CCC5C4(C)CCC3(C)C2C1)C,en,literal,"2,4a,6a,6a,8a,9,14a-heptamethyl-10-oxo-3,4,5,6,6b,7,8,9,11,12,12a,13,14,14b-tetradecahydro-1H-picene-2-carbaldehyde",literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,,,,
49,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q121802,literal,Hydnocarpus pentandrus,literal,KZJWDPNRJALLNS-VJSFXXLFSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,en,literal,beta-sitosterol,literal,10.1021/NP50077A010,literal,365635-1,literal,19044-06-5,,
50,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q27124143,literal,Hydnocarpus annamensis,literal,LSKFUSLVUZISST-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)C(C(CO)O)O)O,en,literal,guaiacylglycerol,literal,10.1055/S-2006-946678,literal,365607-1,literal,1208-42-0,literal,CHEMBL1078124
51,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q104997420,literal,Hydnocarpus annamensis,literal,FLROYCKIIJCTDY-UHFFFAOYSA-N,literal,O=C(OCC1OC(OC2=CC=C(O)C=C2CO)C(O)C(O)C1O)C=3C=CC=CC3,en,literal,Poliothyrsoside; Xylosmoside,literal,10.1055/S-2006-946678,literal,365607-1,,,,
52,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q27215721,literal,Hydnocarpus annamensis,literal,QGFJORGLNPWXMK-UHFFFAOYSA-N,literal,COC1=C(C=CC(=C1)CC(CO)O)O,en,literal,"3-(4-hydroxy-3-methoxyphenyl)propane-1,2-diol",literal,10.1055/S-2006-946678,literal,365607-1,literal,27391-18-0,,
53,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q105303113,literal,Hydnocarpus annamensis,literal,WEKCEGQSIIQPAQ-UHFFFAOYSA-N,literal,OC1=C(OC)C=C(C=C1OC)C2OCC3C(OCC23)C4=CC(OC)=C(OC5OC(CO)C(O)C(O)C5O)C(OC)=C4,en,literal,(+)-7-epi-Syringaresinol 4'-glucoside,literal,10.1055/S-2006-946678,literal,365607-1,,,,
54,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q15410900,literal,Hydnocarpus pentandrus,literal,NPJICTMALKLTFW-OFUAXYCQSA-N,literal,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,en,literal,sitogluside,literal,10.1021/NP50077A010,literal,365635-1,literal,474-58-8,literal,CHEMBL506678
55,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q105183147,literal,Hydnocarpus annamensis,literal,NPNFZOGKIFFKGT-UHFFFAOYSA-N,literal,OC1=CC=C(OC2OC(CO)C(O)C(O)C2O)C(=C1)CO,en,literal,"2-[4-Hydroxy-2-(hydroxymethyl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",literal,10.1055/S-2006-946678,literal,365607-1,,,,
56,uri,http://www.wikidata.org/entity/Q256911,uri,http://www.wikidata.org/entity/Q104396184,literal,Hydnocarpus octandra,literal,WHWHDGKOSUKYOV-UHFFFAOYSA-N,literal,O=C(O)C1(C)CCC2(C)CCC3(C)C4CCC5(C)C(C(=O)CCC5C4(C)CCC3(C)C2C1)C,en,literal,Polpunonic acid,literal,10.1016/S0031-9422(00)84667-1,literal,111760-1,,,,
57,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q19598411,literal,Hydnocarpus annamensis,literal,RARSHUDCJQSEFJ-UHFFFAOYSA-N,literal,CCC(=O)C1=CC=C(C=C1)O,en,literal,paroxypropione,literal,10.1055/S-2006-946678,literal,365607-1,literal,70-70-2,literal,CHEMBL312311
58,uri,http://www.wikidata.org/entity/Q7988493,uri,http://www.wikidata.org/entity/Q110192026,literal,Hydnocarpus annamensis,literal,PNHYNZGMUXQVGM-UHFFFAOYSA-N,literal,O=C(OC1C(O)C(O)C(OC2=CC=C(O)C=C2CO)OC1CO)C=3C=CC=CC3,en,literal,"[4,5-Dihydroxy-6-[4-hydroxy-2-(hydroxymethyl)phenoxy]-2-(hydroxymethyl)oxan-3-yl] benzoate",literal,10.1055/S-2006-946678,literal,365607-1,,,,
59,uri,http://www.wikidata.org/entity/Q11144849,uri,http://www.wikidata.org/entity/Q102302396,literal,Hydnocarpus anthelminthicus,literal,XMVQWNRDPAAMJB-KRWDZBQOSA-N,literal,C1CC(C=C1)CCCCCCCCCCCCC(=O)O,en,literal,(R)-chaulmoogric acid,literal,10.1016/S0021-9673(01)92485-9,literal,365610-1,literal,1017254-68-0,,
60,uri,http://www.wikidata.org/entity/Q15391741,uri,http://www.wikidata.org/entity/Q82047559,literal,Hydnocarpus pentandrus,literal,ACWNTJJUZAIOLW-UHFFFAOYSA-N,literal,O=C(OC1CCC2(C)C(CCC3(C)C2CCC4C5C(C(=C)C)CCC5(C(=O)O)CCC43C)C1(C)C)C,en,literal,3-(acetyloxy)lup-20(29)-en-28-oic acid,literal,10.1055/S-0028-1097302,literal,365635-1,literal,10376-50-8,,
